family,run,rows,executed,raw_trade_pressure,held_same_episode,observed_potential,reward_sum,max_trade_readiness,max_mature_transfer
dio_09dp,72,1,0,0,0,1,0.0,0.004573,0.004573
dio_09dp,73,1,0,0,0,1,0.0,0.010144,0.010144
dio_09dp,74,1,0,0,0,1,0.0,0.0275,0.0275
dio_09jn,72,1,0,0,0,1,0.0,0.004439,0.004439
dio_09jn,73,1,0,0,0,1,0.0,0.007363,0.007363
dio_09jn,74,1,0,0,0,1,0.0,0.015754,0.015754
dio_09jn,75,1,0,0,0,1,0.0,0.028768,0.028768
dio_0e10,72,1,0,0,0,1,0.0,0.004722,0.004722
dio_0e10,73,1,0,0,0,1,0.0,0.008754,0.008754
dio_0e10,74,1,0,0,0,1,0.0,0.02032,0.02032
dio_0e10,75,1,0,0,0,1,0.0,0.03819,0.03819
dio_0qb3,72,1,1,1,0,0,0.605645,0.155315,0.064269
dio_0qb3,73,1,1,1,0,0,0.605645,0.221933,0.062692
dio_0qb3,74,1,1,1,0,0,0.605645,0.277778,0.063643
dio_0qb3,75,1,1,1,0,0,0.605645,0.324496,0.064581
dio_0x52,72,1,0,0,0,1,0.0,0.005423,0.005423
dio_0x52,73,1,0,0,0,1,0.0,0.012889,0.012889
dio_0x52,74,1,0,0,0,1,0.0,0.034229,0.034229
dio_0x52,75,1,1,1,0,0,0.798562,0.067184,0.067184
dio_15bt,72,1,0,0,0,1,0.0,0.004859,0.004859
dio_15bt,73,1,0,0,0,1,0.0,0.004621,0.004621
dio_15bt,74,1,0,0,0,1,0.0,0.004731,0.004731
dio_16yf,72,1,0,0,0,1,0.0,0.004534,0.004534
dio_16yf,73,1,0,0,0,1,0.0,0.018884,0.018884
dio_18fu,72,1,0,0,0,1,0.0,0.004516,0.004516
dio_18fu,73,1,0,0,0,1,0.0,0.016349,0.016349
dio_18jg,72,1,0,0,0,1,0.0,0.004698,0.004698
dio_18jg,73,1,0,0,0,1,0.0,0.008788,0.008788
dio_18jg,74,1,0,0,0,1,0.0,0.020501,0.020501
dio_18jg,75,1,0,0,0,1,0.0,0.038592,0.038592
dio_1kqv,72,1,0,0,0,1,0.0,0.004538,0.004538
dio_1kqv,73,1,0,0,0,1,0.0,0.005961,0.005961
dio_1kqv,74,1,0,0,0,1,0.0,0.012161,0.012161
dio_1kqv,75,1,0,0,0,1,0.0,0.021735,0.021735
dio_1nky,72,1,0,0,0,1,0.0,0.004134,0.004134
dio_1nky,73,1,0,0,0,1,0.0,0.017024,0.017024
dio_1tsz,72,1,0,0,0,1,0.0,0.004383,0.004383
dio_1tsz,73,1,0,0,0,1,0.0,0.008061,0.008061
dio_1tsz,74,1,0,0,0,1,0.0,0.019335,0.019335
dio_1vm7,72,1,0,0,0,1,0.0,0.004843,0.004843
dio_1vm7,73,1,0,0,0,1,0.0,0.016299,0.016299
dio_1vm7,74,1,1,1,0,0,1.184839,0.047906,0.047906
dio_1vm7,75,1,1,1,0,0,1.184839,0.166068,0.070905
dio_1xfl,72,1,0,0,0,1,0.0,0.005003,0.005003
dio_1xfl,73,1,0,0,0,1,0.0,0.005833,0.005833
dio_1xfl,74,1,0,0,0,1,0.0,0.009028,0.009028
