left_family,right_family,left_phase,right_phase,relation_kind,left_phase_count,right_phase_count,left_executed,right_executed,left_positive_executed,right_positive_executed,left_burdened_executed,right_burdened_executed,left_observed,right_observed,left_reward,right_reward,sensor_relation_trace,sensor_distance,visual_mcm_gap,tone_tension_gap
dio_1ytj,dio_1ytj,order_shift_varianz,order_shift_drift,same_family_cross_phase,0,0,0,3,0,3,0,0,2,0,0.0,3.443424,0.983677,0.016323,0.0,0.0
dio_1iuo,dio_1iuo,order_shift_drift,order_shift_resonanz,same_family_cross_phase,0,0,0,2,0,2,0,0,2,0,0.0,3.524774,0.980784,0.019216,0.0,0.0
dio_1d6j,dio_1d6j,order_shift,order_shift_varianz,same_family_cross_phase,0,0,1,4,1,4,0,0,3,0,1.143781,3.624284,0.972906,0.027094,0.0,0.0
dio_121e,dio_0pw5,order_shift,order_shift_resonanz,bearing_sensor_neighbor,0,0,2,2,2,2,0,0,2,2,3.042412,2.70756,0.990363,0.009637,0.0,0.0
dio_121e,dio_1fqy,order_shift,order_shift_drift,bearing_sensor_neighbor,0,0,2,2,2,2,0,0,2,2,3.042412,3.10993,0.990325,0.009675,0.0,0.0
dio_1fqy,dio_0pw5,order_shift_drift,order_shift_resonanz,bearing_sensor_neighbor,0,0,2,2,2,2,0,0,2,2,3.10993,2.70756,0.982462,0.017538,0.0,0.0
dio_1ioc,dio_0pw5,order_shift_varianz,order_shift_resonanz,bearing_sensor_neighbor,0,0,2,2,2,2,0,0,2,2,3.339704,2.70756,0.974096,0.025904,0.0,0.0
dio_1e6y,dio_1r42,order_shift_drift,order_shift_resonanz,bearing_sensor_neighbor,0,0,1,2,1,2,0,0,3,2,0.941453,2.421188,0.972807,0.027193,0.0,0.0
dio_1lam,dio_1ioc,shift,order_shift_varianz,bearing_sensor_neighbor,0,0,4,2,4,2,0,0,0,2,5.19776,3.339704,0.97255,0.02745,0.0,0.0
dio_0nmi,dio_0f4h,order_shift,order_shift,bearing_sensor_neighbor,0,0,1,1,1,1,0,0,1,0,2.0,2.0,0.966829,0.033171,0.0,0.0
dio_121e,dio_1ioc,order_shift,order_shift_varianz,bearing_sensor_neighbor,0,0,2,2,2,2,0,0,2,2,3.042412,3.339704,0.964782,0.035218,0.0,0.0
dio_0nmi,dio_1h5i,order_shift,order_shift,bearing_sensor_neighbor,0,0,1,1,1,1,0,0,1,2,2.0,1.652416,0.9636,0.0364,0.0,0.0
dio_1ioc,dio_1fqy,order_shift_varianz,order_shift_drift,bearing_sensor_neighbor,0,0,2,2,2,2,0,0,2,2,3.339704,3.10993,0.95752,0.04248,0.0,0.0
dio_0nmi,dio_1iuo,order_shift,order_shift_resonanz,bearing_sensor_neighbor,0,0,1,2,1,2,0,0,1,0,2.0,3.524774,0.95028,0.049719,0.0,0.0
dio_1lam,dio_0pw5,shift,order_shift_resonanz,bearing_sensor_neighbor,0,0,4,2,4,2,0,0,0,2,5.19776,2.70756,0.94886,0.05114,0.0,0.0
dio_0f4h,dio_1iuo,order_shift,order_shift_resonanz,bearing_sensor_neighbor,0,0,1,2,1,2,0,0,0,0,2.0,3.524774,0.941274,0.058726,0.0,0.0
dio_1lam,dio_121e,shift,order_shift,bearing_sensor_neighbor,0,0,4,2,4,2,0,0,0,2,5.19776,3.042412,0.940729,0.059271,0.0,0.0
dio_0f4h,dio_1h5i,order_shift,order_shift,bearing_sensor_neighbor,0,0,1,1,1,1,0,0,0,2,2.0,1.652416,0.936181,0.063819,0.0,0.0
dio_1h5i,dio_1iuo,order_shift,order_shift_resonanz,bearing_sensor_neighbor,0,0,1,2,1,2,0,0,2,0,1.652416,3.524774,0.934871,0.065129,0.0,0.0
dio_1lam,dio_1fqy,shift,order_shift_drift,bearing_sensor_neighbor,0,0,4,2,4,2,0,0,0,2,5.19776,3.10993,0.931322,0.068678,0.0,0.0
dio_1d6j,dio_15th,order_shift,order_shift_drift,bearing_sensor_neighbor,0,0,1,1,1,1,0,0,3,2,1.143781,1.296838,0.882781,0.117219,0.0,0.0
dio_0odx,dio_1ytj,shift,order_shift_drift,bearing_sensor_neighbor,0,0,2,3,2,3,0,0,2,0,0.520934,3.443424,0.871514,0.128486,0.0,0.0
dio_1d6j,dio_15th,order_shift_varianz,order_shift_drift,bearing_sensor_neighbor,0,0,4,1,4,1,0,0,0,2,3.624284,1.296838,0.866777,0.133223,0.0,0.0
dio_0nmi,dio_1k0r,order_shift,order_shift_drift,observation_to_bearing_neighbor,0,0,1,0,1,0,0,0,1,2,2.0,0.0,0.971491,0.028509,0.0,0.0
dio_0nmi,dio_1iuo,order_shift,order_shift_drift,observation_to_bearing_neighbor,0,0,1,0,1,0,0,0,1,2,2.0,0.0,0.969496,0.030504,0.0,0.0
dio_1h5i,dio_1k0r,order_shift,order_shift_drift,observation_to_bearing_neighbor,0,0,1,0,1,0,0,0,2,2,1.652416,0.0,0.964104,0.035896,0.0,0.0
dio_1iuo,dio_1sgx,order_shift_resonanz,order_shift_resonanz,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,0,2,3.524774,0.0,0.962132,0.037868,0.0,0.0
dio_1k0r,dio_1iuo,order_shift_drift,order_shift_resonanz,observation_to_bearing_neighbor,0,0,0,2,0,2,0,0,2,0,0.0,3.524774,0.960718,0.039282,0.0,0.0
dio_0f4h,dio_1iuo,order_shift,order_shift_drift,observation_to_bearing_neighbor,0,0,1,0,1,0,0,0,0,2,2.0,0.0,0.959876,0.040124,0.0,0.0
dio_0odx,dio_03fl,shift,order_shift_varianz,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,3,0.520934,0.0,0.959221,0.040779,0.0,0.0
dio_1i0f,dio_1sxo,order_shift,order_shift_varianz,observation_to_bearing_neighbor,0,0,0,1,0,1,0,0,2,1,0.0,0.993834,0.956353,0.043647,0.0,0.0
dio_0nmi,dio_1sgx,order_shift,order_shift_resonanz,observation_to_bearing_neighbor,0,0,1,0,1,0,0,0,1,2,2.0,0.0,0.956066,0.043934,0.0,0.0
dio_1sxo,dio_0jjv,order_shift_varianz,order_shift_resonanz,observation_to_bearing_neighbor,0,0,1,0,1,0,0,0,1,2,0.993834,0.0,0.953225,0.046775,0.0,0.0
dio_1h5i,dio_1iuo,order_shift,order_shift_drift,observation_to_bearing_neighbor,0,0,1,0,1,0,0,0,2,2,1.652416,0.0,0.950242,0.049758,0.0,0.0
dio_0odx,dio_0786,shift,order_shift_drift,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,1,0.520934,0.0,0.948319,0.051681,0.0,0.0
dio_15th,dio_134j,order_shift_drift,order_shift_resonanz,observation_to_bearing_neighbor,0,0,1,0,1,0,0,0,2,2,1.296838,0.0,0.946502,0.053498,0.0,0.0
dio_0f4h,dio_1k0r,order_shift,order_shift_drift,observation_to_bearing_neighbor,0,0,1,0,1,0,0,0,0,2,2.0,0.0,0.942121,0.057879,0.0,0.0
dio_1h5i,dio_1sgx,order_shift,order_shift_resonanz,observation_to_bearing_neighbor,0,0,1,0,1,0,0,0,2,2,1.652416,0.0,0.937586,0.062413,0.0,0.0
dio_0f4h,dio_1sgx,order_shift,order_shift_resonanz,observation_to_bearing_neighbor,0,0,1,0,1,0,0,0,0,2,2.0,0.0,0.935024,0.064976,0.0,0.0
dio_1mml,dio_1gz3,shift,order_shift_drift,observation_to_bearing_neighbor,0,0,1,0,1,0,0,0,0,2,0.237245,0.0,0.932138,0.067862,0.0,0.0
dio_0odx,dio_1hkr,shift,order_shift_varianz,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,2,0.520934,0.0,0.928507,0.071493,0.0,0.0
dio_0odx,dio_1ieq,shift,order_shift_drift,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,1,0.520934,0.0,0.92499,0.07501,0.0,0.0
dio_1fqy,dio_1gj1,order_shift_drift,order_shift_resonanz,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,2,3.10993,0.0,0.9243,0.0757,0.0,0.0
dio_0odx,dio_185j,shift,order_shift,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,2,0.520934,0.0,0.917727,0.082273,0.0,0.0
dio_121e,dio_1gj1,order_shift,order_shift_resonanz,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,2,3.042412,0.0,0.917048,0.082952,0.0,0.0
dio_0q8z,dio_1fqy,order_shift_varianz,order_shift_drift,observation_to_bearing_neighbor,0,0,0,2,0,2,0,0,2,2,0.0,3.10993,0.916611,0.083389,0.0,0.0
dio_0odx,dio_1j0n,shift,order_shift,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,1,0.520934,0.0,0.91654,0.08346,0.0,0.0
dio_01yf,dio_1fqy,order_shift,order_shift_drift,observation_to_bearing_neighbor,0,0,0,2,0,2,0,0,2,2,0.0,3.10993,0.915131,0.084869,0.0,0.0
dio_0pw5,dio_1gj1,order_shift_resonanz,order_shift_resonanz,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,2,2.70756,0.0,0.913152,0.086848,0.0,0.0
dio_1j0n,dio_1ytj,order_shift,order_shift_drift,observation_to_bearing_neighbor,0,0,0,3,0,3,0,0,1,0,0.0,3.443424,0.912952,0.087048,0.0,0.0
dio_1r0b,dio_0knp,shift,order_shift,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,0,3,1.959404,0.0,0.911216,0.088784,0.0,0.0
dio_121e,dio_0q8z,order_shift,order_shift_varianz,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,2,3.042412,0.0,0.90935,0.09065,0.0,0.0
dio_1r0b,dio_1iwu,shift,order_shift_resonanz,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,0,2,1.959404,0.0,0.908246,0.091754,0.0,0.0
dio_121e,dio_01yf,order_shift,order_shift,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,2,3.042412,0.0,0.90788,0.09212,0.0,0.0
dio_1sxo,dio_1xdw,order_shift_varianz,order_shift_drift,observation_to_bearing_neighbor,0,0,1,0,1,0,0,0,1,2,0.993834,0.0,0.904954,0.095046,0.0,0.0
dio_01yf,dio_0pw5,order_shift,order_shift_resonanz,observation_to_bearing_neighbor,0,0,0,2,0,2,0,0,2,2,0.0,2.70756,0.904127,0.095873,0.0,0.0
dio_0q8z,dio_0pw5,order_shift_varianz,order_shift_resonanz,observation_to_bearing_neighbor,0,0,0,2,0,2,0,0,2,2,0.0,2.70756,0.900036,0.099964,0.0,0.0
dio_1hkr,dio_1ytj,order_shift_varianz,order_shift_drift,observation_to_bearing_neighbor,0,0,0,3,0,3,0,0,2,0,0.0,3.443424,0.897958,0.102042,0.0,0.0
dio_1fqy,dio_18je,order_shift_drift,order_shift_drift,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,2,3.10993,0.0,0.897404,0.102596,0.0,0.0
dio_121e,dio_18je,order_shift,order_shift_drift,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,2,3.042412,0.0,0.890143,0.109857,0.0,0.0
dio_1ytj,dio_1ieq,order_shift_drift,order_shift_drift,observation_to_bearing_neighbor,0,0,3,0,3,0,0,0,0,1,3.443424,0.0,0.890105,0.109895,0.0,0.0
dio_0odx,dio_00eh,shift,order_shift,observation_to_bearing_neighbor,0,0,2,1,2,0,0,1,2,1,0.520934,-0.431148,0.889459,0.110541,0.0,0.0
dio_0odx,dio_018g,shift,order_shift,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,1,0.520934,0.0,0.889459,0.110541,0.0,0.0
dio_01yf,dio_1ioc,order_shift,order_shift_varianz,observation_to_bearing_neighbor,0,0,0,2,0,2,0,0,2,2,0.0,3.339704,0.889194,0.110806,0.0,0.0
dio_1ioc,dio_1gj1,order_shift_varianz,order_shift_resonanz,observation_to_bearing_neighbor,0,0,2,0,2,0,0,0,2,2,3.339704,0.0,0.887248,0.112752,0.0,0.0
dio_1ytj,dio_0mlh,order_shift_drift,order_shift_resonanz,observation_to_bearing_neighbor,0,0,3,0,3,0,0,0,0,2,3.443424,0.0,0.883931,0.116069,0.0,0.0
dio_1sxo,dio_18je,order_shift_varianz,order_shift_drift,observation_to_bearing_neighbor,0,0,1,0,1,0,0,0,1,2,0.993834,0.0,0.880981,0.119019,0.0,0.0
dio_18je,dio_0pw5,order_shift_drift,order_shift_resonanz,observation_to_bearing_neighbor,0,0,0,2,0,2,0,0,2,2,0.0,2.70756,0.880829,0.119171,0.0,0.0
