world,debug_root,memory_observations,memory_mean_avg_carry,memory_mean_avg_carried_cos,memory_best_max_carry,memory_best_max_carried_cos,memory_last_positive_carried_cos_family_count,memory_last_avg_readiness,episodes,families,trades,tp,sl,wait,reward_sum,tone_counts,avg_trade_readiness,max_trade_readiness,avg_observation_trade_readiness,max_observation_trade_readiness,avg_observation_learning_pressure,max_observation_learning_pressure,avg_mini_neuro_balance,max_mini_neuro_balance,avg_mini_neuro_support,max_mini_neuro_support,avg_mini_neuro_load,max_mini_neuro_load,avg_mini_temporal_trust_support,max_mini_temporal_trust_support,avg_mini_temporal_caution_support,max_mini_temporal_caution_support
probe17,debug\dio_mini_world_reife_compare_probe17,1,0.178789,0.27429,0.280315,0.995038,11,0.021341,18,18,1,1,0,17,1.0,"{""focus_tone"": 11, ""observation_tone"": 6, ""relief_tone"": 1}",0.03318,0.096678,0.031414,0.066266,0.399979,0.637351,0.082877,0.270668,0.29528,0.49275,0.212403,0.252616,0.0,0.0,0.72,0.72
probe18,debug\dio_mini_world_reife_compare_probe18,1,0.178385,0.269927,0.280197,0.99571,11,0.016962,36,18,2,2,0,34,2.0,"{""focus_tone"": 22, ""observation_tone"": 12, ""relief_tone"": 2}",0.033209,0.177457,0.029176,0.066266,0.400007,0.633956,0.087285,0.283502,0.296702,0.498381,0.209417,0.247545,0.0,0.0,0.72,0.72
conflict16,debug\dio_mini_world_reife_compare_conflict16,1,0.1344,-0.041084,0.260199,0.794854,7,0.015053,36,17,0,0,0,36,0.0,"{""focus_tone"": 20, ""observation_tone"": 16}",0.000276,0.002776,0.000154,0.002776,0.385453,0.640048,0.070186,0.302389,0.277841,0.405081,0.207655,0.274569,0.033839,0.609107,0.683077,0.72
