left_family,right_family,transfer_reife_state,transfer_reife,sensory_mcm_similarity,distance,same_action,same_outcome,same_state_class,event_reward_relation,event_reward_alignment,potential_reward_relation,potential_reward_alignment,left_state_class,right_state_class,left_landkarte_state,right_landkarte_state,left_reflection_state,right_reflection_state,left_action,right_action,left_outcome,right_outcome,left_reward_sum,right_reward_sum,left_event_reward_sum,right_event_reward_sum,passive_only,transfer_sentence
dio_1txv,dio_1c6b,transfer_reife_family_carried_observation_dominant,0.997622741,0.993744055,0.006295328,1,1,1,positive_to_positive,1.0,positive_to_positive,1.0,variant,variant,inner_map_shift_or_variant,inner_map_shift_or_variant,reflection_confirmation_seed,reflection_confirmation_seed,WAIT,WAIT,NO_TRADE,NO_TRADE,1.0,1.0,1.0,1.0,1,dio_1txv -> dio_1c6b: transfer_reife=0.997623; sinnesnaehe=0.993744; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=1.000000->1.000000; potential_reward=1.000000->1.000000.
dio_16yc,dio_1d1z,transfer_reife_family_carried_observation_dominant,0.993065633,0.981751666,0.018587525,1,1,1,positive_to_positive,1.0,positive_to_positive,1.0,variant,variant,inner_map_shift_or_variant,inner_map_shift_or_variant,reflection_confirmation_seed,reflection_confirmation_seed,SHORT,SHORT,NO_TRADE,NO_TRADE,1.0,1.0,1.0,1.0,1,dio_16yc -> dio_1d1z: transfer_reife=0.993066; sinnesnaehe=0.981752; aktion=SHORT->SHORT; konsequenz=NO_TRADE->NO_TRADE; event_reward=1.000000->1.000000; potential_reward=1.000000->1.000000.
dio_0fiy,dio_1d3r,transfer_reife_burden_same_consequence,0.992195431,0.979461661,0.020969007,1,1,1,negative_to_negative,1.0,negative_to_negative,1.0,single,single,inner_map_single_observation,inner_map_single_observation,reflection_negative_open,reflection_negative_open,LONG,LONG,SL,SL,-1.0,-1.0,-1.0,-1.0,1,dio_0fiy -> dio_1d3r: transfer_reife=0.992195; sinnesnaehe=0.979462; aktion=LONG->LONG; konsequenz=SL->SL; event_reward=-1.000000->-1.000000; potential_reward=-1.000000->-1.000000.
dio_0arw,dio_0ofo,transfer_reife_carried_same_consequence,0.987027778,0.965862573,0.035343979,1,1,1,positive_to_positive,1.0,positive_to_positive,1.0,single,single,inner_map_single_observation,inner_map_single_observation,reflection_trust_seed,reflection_trust_seed,LONG,LONG,TP,TP,1.0,1.0,1.0,1.0,1,dio_0arw -> dio_0ofo: transfer_reife=0.987028; sinnesnaehe=0.965863; aktion=LONG->LONG; konsequenz=TP->TP; event_reward=1.000000->1.000000; potential_reward=1.000000->1.000000.
dio_0x1o,dio_0ps1,transfer_reife_carried_same_consequence,0.984201492,0.958424978,0.043378484,1,1,1,positive_to_positive,1.0,positive_to_positive,1.0,single,single,inner_map_single_observation,inner_map_single_observation,reflection_trust_seed,reflection_trust_seed,LONG,LONG,TP,TP,1.0,1.0,1.0,1.0,1,dio_0x1o -> dio_0ps1: transfer_reife=0.984201; sinnesnaehe=0.958425; aktion=LONG->LONG; konsequenz=TP->TP; event_reward=1.000000->1.000000; potential_reward=1.000000->1.000000.
dio_143d,dio_143d,transfer_reife_quiet_same_consequence,0.903487085,0.982860751,0.017438126,1,1,1,neutral_to_neutral,0.5,neutral_to_neutral,0.5,single,single,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_quiet_observation,WAIT,WAIT,NO_TRADE,NO_TRADE,0.0,0.0,0.0,0.0,1,dio_143d -> dio_143d: transfer_reife=0.903487; sinnesnaehe=0.982861; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=0.000000->0.000000; potential_reward=0.000000->0.000000.
dio_14xc,dio_143d,transfer_reife_quiet_same_consequence,0.903487085,0.982860751,0.017438126,1,1,1,neutral_to_neutral,0.5,neutral_to_neutral,0.5,single,single,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_quiet_observation,WAIT,WAIT,NO_TRADE,NO_TRADE,0.0,0.0,0.0,0.0,1,dio_14xc -> dio_143d: transfer_reife=0.903487; sinnesnaehe=0.982861; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=0.000000->0.000000; potential_reward=0.000000->0.000000.
dio_1qwp,dio_1f9y,transfer_reife_quiet_same_consequence,0.901035677,0.976409676,0.024160272,1,1,1,neutral_to_neutral,0.5,neutral_to_neutral,0.5,single,single,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_quiet_observation,WAIT,WAIT,NO_TRADE,NO_TRADE,0.0,0.0,0.0,0.0,1,dio_1qwp -> dio_1f9y: transfer_reife=0.901036; sinnesnaehe=0.976410; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=0.000000->0.000000; potential_reward=0.000000->0.000000.
dio_0igh,dio_040y,transfer_reife_quiet_same_consequence,0.898292941,0.969191951,0.031787356,1,1,1,neutral_to_neutral,0.5,neutral_to_neutral,0.5,single,single,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_quiet_observation,WAIT,WAIT,NO_TRADE,NO_TRADE,0.0,0.0,0.0,0.0,1,dio_0igh -> dio_040y: transfer_reife=0.898293; sinnesnaehe=0.969192; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=0.000000->0.000000; potential_reward=0.000000->0.000000.
dio_1g2t,dio_10dk,transfer_reife_quiet_same_consequence,0.88578708,0.93628179,0.068054523,1,1,1,neutral_to_neutral,0.5,neutral_to_neutral,0.5,single,single,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_quiet_observation,WAIT,WAIT,NO_TRADE,NO_TRADE,0.0,0.0,0.0,0.0,1,dio_1g2t -> dio_10dk: transfer_reife=0.885787; sinnesnaehe=0.936282; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=0.000000->0.000000; potential_reward=0.000000->0.000000.
dio_02qu,dio_0ofo,transfer_reife_carried_same_consequence,0.728264062,0.758589638,0.318235776,1,1,0,positive_to_positive,0.333333333,positive_to_positive,0.333333333,trust,single,inner_map_trust_stable_identical_repeat,inner_map_single_observation,reflection_trust_seed,reflection_trust_seed,LONG,LONG,TP,TP,3.0,1.0,3.0,1.0,1,dio_02qu -> dio_0ofo: transfer_reife=0.728264; sinnesnaehe=0.758590; aktion=LONG->LONG; konsequenz=TP->TP; event_reward=3.000000->1.000000; potential_reward=3.000000->1.000000.
dio_1vpi,dio_1m4n,transfer_reife_form_near_trust_not_carried,0.434182048,0.976794864,0.023756407,0,0,0,positive_to_neutral,0.35,positive_to_neutral,0.35,trust,quiet,inner_map_trust_stable_identical_repeat,inner_map_quiet_stable_identical_repeat,reflection_trust_seed,reflection_quiet_observation,SHORT,WAIT,TP,NO_TRADE,3.0,0.0,3.0,0.0,1,dio_1vpi -> dio_1m4n: transfer_reife=0.434182; sinnesnaehe=0.976795; aktion=SHORT->WAIT; konsequenz=TP->NO_TRADE; event_reward=3.000000->0.000000; potential_reward=3.000000->0.000000.
