family_action,symbol_family,action,freshness_state,source_count,source_labels,run_count,episode_count,first_source,last_source,first_tick,last_tick,tick_span,phase_time_states,outcome_events,phase_active_count,avg_finite_phase_age,avg_bars_held,event_reward_sum,avg_event_reward,avg_phase_distance,avg_binding_pressure,avg_release_pressure,passive_only,influences_action,is_gate,is_motoric,time_summary_sentence
dio_0n9e:LONG,dio_0n9e,LONG,fresh_local_episode_trace,1,variant_probe17,2,2,variant_probe17,variant_probe17,5,5,0,no_prior_phase:2,TP:2,0,,2.0,2.0,1.0,1.0,0.0,1.0,1,0,0,0,dio_0n9e:LONG: fresh_local_episode_trace; Quellen=variant_probe17; Episoden=2; Outcome=TP:2; RewardSumme=2.000000.
dio_1k7y:LONG,dio_1k7y,LONG,fresh_local_episode_trace,1,variant_probe17,2,2,variant_probe17,variant_probe17,13,13,0,executed_temporal_contact:2,TP:2,0,8.0,4.0,2.0,1.0,0.552587,0.0,1.0,1,0,0,0,dio_1k7y:LONG: fresh_local_episode_trace; Quellen=variant_probe17; Episoden=2; Outcome=TP:2; RewardSumme=2.000000.
dio_0120:WAIT,dio_0120,WAIT,fresh_local_episode_trace,1,variant_probe17,3,3,variant_probe17,variant_probe17,18,18,0,active_afterimage_contact:3,NO_TRADE:3,3,5.333333,,0.0,0.0,0.305067,0.63206,0.257734,1,0,0,0,dio_0120:WAIT: fresh_local_episode_trace; Quellen=variant_probe17; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_040y:WAIT,dio_040y,WAIT,fresh_local_episode_trace,1,variant_probe17,1,1,variant_probe17,variant_probe17,9,9,0,different_contact_afterimage:1,NO_TRADE:1,0,5.0,,0.0,0.0,0.571986,0.0,1.0,1,0,0,0,dio_040y:WAIT: fresh_local_episode_trace; Quellen=variant_probe17; Episoden=1; Outcome=NO_TRADE:1; RewardSumme=0.000000.
dio_10dk:WAIT,dio_10dk,WAIT,fresh_local_episode_trace,1,variant_probe17,3,3,variant_probe17,variant_probe17,3,3,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_10dk:WAIT: fresh_local_episode_trace; Quellen=variant_probe17; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_13u8:WAIT,dio_13u8,WAIT,fresh_local_episode_trace,1,variant_probe17,1,1,variant_probe17,variant_probe17,17,17,0,active_afterimage_contact:1,NO_TRADE:1,1,5.0,,0.0,0.0,0.376618,0.518795,0.113123,1,0,0,0,dio_13u8:WAIT: fresh_local_episode_trace; Quellen=variant_probe17; Episoden=1; Outcome=NO_TRADE:1; RewardSumme=0.000000.
dio_143d:WAIT,dio_143d,WAIT,fresh_local_episode_trace,1,variant_probe17,2,2,variant_probe17,variant_probe17,11,11,0,different_contact_afterimage:2,NO_TRADE:2,0,6.0,,0.0,0.0,0.394757,0.0,1.0,1,0,0,0,dio_143d:WAIT: fresh_local_episode_trace; Quellen=variant_probe17; Episoden=2; Outcome=NO_TRADE:2; RewardSumme=0.000000.
dio_14xc:WAIT,dio_14xc,WAIT,fresh_local_episode_trace,1,variant_probe17,1,1,variant_probe17,variant_probe17,11,11,0,active_afterimage_contact:1,NO_TRADE:1,1,7.0,,0.0,0.0,0.532903,0.466912,0.224665,1,0,0,0,dio_14xc:WAIT: fresh_local_episode_trace; Quellen=variant_probe17; Episoden=1; Outcome=NO_TRADE:1; RewardSumme=0.000000.
dio_1c6b:WAIT,dio_1c6b,WAIT,fresh_local_episode_trace,1,variant_probe17,3,3,variant_probe17,variant_probe17,1,1,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1c6b:WAIT: fresh_local_episode_trace; Quellen=variant_probe17; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1d1z:WAIT,dio_1d1z,WAIT,fresh_local_episode_trace,1,variant_probe17,3,3,variant_probe17,variant_probe17,2,2,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1d1z:WAIT: fresh_local_episode_trace; Quellen=variant_probe17; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1d3r:WAIT,dio_1d3r,WAIT,fresh_local_episode_trace,1,variant_probe17,2,2,variant_probe17,variant_probe17,4,4,0,no_prior_phase:2,NO_TRADE:2,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1d3r:WAIT: fresh_local_episode_trace; Quellen=variant_probe17; Episoden=2; Outcome=NO_TRADE:2; RewardSumme=0.000000.
