development_state,family_count,row_count,reward_sum,event_reward_sum,families,maturation_states
development_stable_carried,4,12,12.0,12.0,"dio_02qu,dio_0arw,dio_1u7v,dio_1vpi",maturation_stable_carried
development_quiet_observation,1,3,0.0,0.0,dio_14xc,maturation_quiet_observation
