stage_order,stage_label,source_path,text_island_count,stable_core_count,stable_core_ratio,soft_variation_count,soft_variation_ratio,drift_watch_count,drift_watch_ratio,raw_space_count,raw_space_ratio,avg_semantic_maturity_score,avg_stability_pressure,avg_variation_bearing,avg_drift_pressure,dominant_inner_state,dominant_maturity_state,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
1,C,debug\dio_mini_passive_text_island_inner_map_after_varianteC_20260606_v1\passive_text_island_inner_map.csv,170,6,0.035294118,7,0.041176471,2,0.011764706,37,0.217647059,0.363201557,0.602108203,0.18839827,0.019019608,inner_foreign_boundary_space,new_unconfirmed_text_island,True,False,False,False,False,False,False,False
2,D,debug\dio_mini_passive_text_island_inner_map_after_varianteD_20260606_v1\passive_text_island_inner_map.csv,179,5,0.027932961,18,0.100558659,4,0.022346369,34,0.189944134,0.372861088,0.601452256,0.214116502,0.023184358,inner_foreign_boundary_space,new_unconfirmed_text_island,True,False,False,False,False,False,False,False
3,E,debug\dio_mini_passive_text_island_inner_map_after_varianteE_20260606_v1\passive_text_island_inner_map.csv,233,7,0.030042918,24,0.103004292,6,0.025751073,77,0.330472103,0.34806772,0.59494277,0.206866573,0.028653178,inner_foreign_boundary_space,new_unconfirmed_text_island,True,False,False,False,False,False,False,False
4,F,debug\dio_mini_passive_text_island_inner_map_after_varianteF_20260607_v1\passive_text_island_inner_map.csv,315,27,0.085714286,31,0.098412698,20,0.063492063,118,0.374603175,0.34007046,0.594830744,0.208093944,0.042823129,inner_unconfirmed_raw_space,new_unconfirmed_text_island,True,False,False,False,False,False,False,False
