inner_state,contact_state,count,reward_sum,best_reward_sum,avg_reward,families,actions
inner_carried,executed_positive_contact,3,3.315905,3.315905,1.105302,"dio_0arw,dio_0t0v,dio_1u7v","LONG,SHORT"
inner_open_observation,observed_potential_contact,1,0.0,0.094515,0.0,dio_14xc,WAIT
inner_unfinished,held_active_impulse,2,0.0,0.771629,0.0,"dio_00qb,dio_1vpi",WAIT
