family,step_count,trend,reward_sum,state_path,action_path,path,passive_sentence
dio_0t0v,3,conflict_to_carried,2.909977,conflict -> observed -> carried,probe18_first:SHORT -> probe18_repeat1:WAIT -> probe18_repeat2:LONG,probe18_first:conflict -> probe18_repeat1:observed -> probe18_repeat2:carried,dio_0t0v: Konflikt wurde ueber Beobachtung/Erfahrung in Tragnaehe ueberfuehrt (conflict -> observed -> carried).
dio_0akd,2,observed_to_carried,1.551314,observed -> carried,probe17_first:WAIT -> probe18_repeat1:LONG,probe17_first:observed -> probe18_repeat1:carried,dio_0akd: beobachtetes Potenzial wurde spaeter getragen (observed -> carried).
dio_0120,3,observed_to_carried,1.001079,observed -> carried -> carried,probe17_first:WAIT -> probe18_first:WAIT -> probe18_repeat1:LONG,probe17_first:observed -> probe18_first:carried -> probe18_repeat1:carried,dio_0120: beobachtetes Potenzial wurde spaeter getragen (observed -> carried -> carried).
dio_0bmh,2,observed_to_carried,0.817371,observed -> carried,probe17_first:WAIT -> probe18_first:LONG,probe17_first:observed -> probe18_first:carried,dio_0bmh: beobachtetes Potenzial wurde spaeter getragen (observed -> carried).
dio_0arw,3,flat,12.463686,carried -> carried -> carried,probe18_first:WAIT -> probe18_repeat1:LONG -> probe18_repeat2:LONG,probe18_first:carried -> probe18_repeat1:carried -> probe18_repeat2:carried,dio_0arw: bleibt ueber alle gelesenen Welten getragen (carried -> carried -> carried).
dio_1u7v,3,flat,8.049528,carried -> carried -> carried,probe18_first:WAIT -> probe18_repeat1:SHORT -> probe18_repeat2:SHORT,probe18_first:carried -> probe18_repeat1:carried -> probe18_repeat2:carried,dio_1u7v: bleibt ueber alle gelesenen Welten getragen (carried -> carried -> carried).
dio_0ofo,2,flat,7.265,carried -> carried,probe17_first:WAIT -> probe17_repeat:LONG,probe17_first:carried -> probe17_repeat:carried,dio_0ofo: bleibt ueber alle gelesenen Welten getragen (carried -> carried).
dio_04z7,2,flat,5.4338,carried -> carried,probe17_first:WAIT -> probe17_repeat:LONG,probe17_first:carried -> probe17_repeat:carried,dio_04z7: bleibt ueber alle gelesenen Welten getragen (carried -> carried).
dio_1bwb,2,flat,4.559405,carried -> carried,probe17_first:WAIT -> probe17_repeat:SHORT,probe17_first:carried -> probe17_repeat:carried,dio_1bwb: bleibt ueber alle gelesenen Welten getragen (carried -> carried).
dio_0n9e,1,flat,1.389869,carried,probe17_first:WAIT,probe17_first:carried,dio_0n9e: bleibt ueber alle gelesenen Welten getragen (carried).
dio_0ems,1,flat,1.304587,carried,probe18_first:WAIT,probe18_first:carried,dio_0ems: bleibt ueber alle gelesenen Welten getragen (carried).
dio_00qb,3,cooling,0.0,observed -> observed -> held,probe18_first:WAIT -> probe18_repeat1:WAIT -> probe18_repeat2:WAIT,probe18_first:observed -> probe18_repeat1:observed -> probe18_repeat2:held,"dio_00qb: zeigt einen offenen Reifeverlauf (observed -> observed -> held), reward_sum=0.000000."
dio_02qu,2,flat,0.0,observed -> observed,probe18_first:WAIT -> probe18_repeat1:WAIT,probe18_first:observed -> probe18_repeat1:observed,dio_02qu: bleibt stabil bei observed (observed -> observed).
dio_040y,1,flat,0.0,observed,probe17_first:WAIT,probe17_first:observed,dio_040y: bleibt stabil bei observed (observed).
dio_0fiy,1,flat,0.0,observed,probe18_first:WAIT,probe18_first:observed,dio_0fiy: bleibt stabil bei observed (observed).
dio_0fzl,1,flat,0.0,observed,probe17_first:WAIT,probe17_first:observed,dio_0fzl: bleibt stabil bei observed (observed).
