run,tick,timestamp_ms,symbol,symbol_family,observed_possible_action,actual_action,outcome_event,potential_reward,observation_learning_pressure,phase_active,phase_relation,passive_only,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
dio_mini_lauf_162,1,1767490300000000,dio_0cgnxn5,dio_0cgn,SHORT,WAIT,NO_TRADE,1.0,0.07756,0,none,1,0.05444,1.0,0.108879,0.055143,0.206897,0.98456,0.063445,0.097996
dio_mini_lauf_162,2,1767490600000000,dio_0fa9zle,dio_0fa9,SHORT,WAIT,NO_TRADE,1.0,0.050758,0,none,1,-0.201426,-1.0,-0.62011,0.360444,0.804878,-0.300924,0.335203,-0.100649
dio_mini_lauf_162,3,1767490900000000,dio_06bdgpn,dio_06bd,SHORT,WAIT,NO_TRADE,1.0,0.05379,0,none,1,-0.473624,-0.333333,-0.345201,0.373255,0.295567,0.095489,0.410921,-0.288964
dio_mini_lauf_162,4,1767491200000000,dio_0ojrw25,dio_0ojr,SHORT,WAIT,NO_TRADE,1.0,0.056499,0,none,1,-0.724046,0.0,-0.188908,0.350179,0.137457,0.30195,0.4814,-0.423312
dio_mini_lauf_162,5,1767491500000000,dio_04zirxa,dio_04zi,LONG,WAIT,NO_TRADE,1.0,0.057425,0,none,1,-0.984391,1.0,0.101715,0.180164,-0.057307,0.949554,0.505388,-0.538309
dio_mini_lauf_162,6,1767491800000000,dio_1qigcjr,dio_1qig,LONG,WAIT,NO_TRADE,1.0,0.059509,0,none,1,-0.874202,1.0,0.202334,-0.011927,-0.101781,0.99666,0.404548,-0.461349
dio_mini_lauf_162,7,1767492100000000,dio_0vc85jd,dio_0vc8,SHORT,WAIT,NO_TRADE,0.438144,0.06821,0,none,1,-0.483187,0.0,0.648337,-0.183654,-0.206186,0.348577,0.383807,-0.156221
dio_mini_lauf_162,8,1767492400000000,dio_1g7l35z,dio_1g7l,SHORT,WAIT,NO_TRADE,1.0,0.063428,0,none,1,-0.077222,-1.0,0.464469,-0.13539,0.080214,-0.237909,0.163612,0.084271
dio_mini_lauf_162,14,1767494200000000,dio_1t73pqz,dio_1t73,SHORT,WAIT,NO_TRADE,1.0,0.068285,0,different_contact,1,-0.37545,0.0,0.577393,-0.152016,-0.34375,0.357435,0.313919,-0.140428
dio_mini_lauf_162,15,1767494500000000,dio_1q9bwwb,dio_1q9b,SHORT,WAIT,NO_TRADE,1.0,0.063061,0,different_contact,1,-0.0554,-1.0,0.392229,-0.113507,0.09434,-0.231782,0.133698,0.081979
