target_family,reference_family,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_phases,reference_phases,target_executed_rows,reference_executed_rows,target_observed_rows,reference_observed_rows
dio_14mj,dio_14wi,0.017364,0.982636,0.798383,4.496005,sensor_relation_probe5_variation,"sensor_relation_probe4,sensor_relation_probe4_repeat",1,5,3,3
dio_14mj,dio_0x52,0.028501,0.971499,0.798383,3.99281,sensor_relation_probe5_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat",1,5,3,3
dio_14mj,dio_09jn,0.328191,0.671809,0.798383,2.190568,sensor_relation_probe5_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation",1,7,3,5
dio_14mj,dio_1vm7,0.376183,0.623817,0.798383,3.554517,sensor_relation_probe5_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat",1,3,3,2
dio_14mj,dio_0nmi,0.432808,0.567192,0.798383,6.770993,sensor_relation_probe5_variation,"order_shift,sensor_relation_probe2",1,4,3,1
dio_14mj,dio_0a54,0.671097,0.328903,0.798383,3.445308,sensor_relation_probe5_variation,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",1,6,3,4
dio_14mj,dio_0qb3,0.862527,0.137473,0.798383,5.353388,sensor_relation_probe5_variation,"sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation",1,9,3,3
dio_14mj,dio_1d6j,0.875021,0.124979,0.798383,4.768065,sensor_relation_probe5_variation,"order_shift,order_shift_varianz",1,5,3,3
