kind,count,executed,reward_sum,avg_reward,max_reward
positive_executed_contact,5,5,5.304845,1.060969,1.489018
observed_potential,41,0,0.0,0.0,0.0
held_same_episode_contact,1,0,0.0,0.0,0.0
