symbol_family,development_state,maturation_state,count,runs,first_moment_state,last_moment_state,moment_path,binding_path,action_path,distinct_moment_count,reward_sum,event_reward_sum,development_sentence,passive_only
dio_02qu,development_stable_carried,maturation_stable_carried,3,"156,157,158",moment_carried,moment_carried,moment_carried -> moment_carried -> moment_carried,multisensory_carried_contact -> multisensory_carried_contact -> multisensory_carried_contact,LONG -> LONG -> LONG,1,3.0,3.0,dio_02qu: stabil getragen; Pfad=moment_carried -> moment_carried -> moment_carried; Aktionen=LONG -> LONG -> LONG; reward_sum=3.000000.,1
dio_0arw,development_stable_carried,maturation_stable_carried,1,158,moment_carried,moment_carried,moment_carried,multisensory_carried_contact,LONG,1,1.0,1.0,dio_0arw: stabil getragen; Pfad=moment_carried; Aktionen=LONG; reward_sum=1.000000.,1
dio_0x1o,development_stable_carried,maturation_stable_carried,1,157,moment_carried,moment_carried,moment_carried,multisensory_carried_contact,LONG,1,1.0,1.0,dio_0x1o: stabil getragen; Pfad=moment_carried; Aktionen=LONG; reward_sum=1.000000.,1
dio_1vpi,development_stable_carried,maturation_stable_carried,3,"156,157,158",moment_carried,moment_carried,moment_carried -> moment_carried -> moment_carried,multisensory_carried_contact -> multisensory_carried_contact -> multisensory_carried_contact,SHORT -> SHORT -> SHORT,1,3.0,3.0,dio_1vpi: stabil getragen; Pfad=moment_carried -> moment_carried -> moment_carried; Aktionen=SHORT -> SHORT -> SHORT; reward_sum=3.000000.,1
dio_16yc,development_observation_to_carried,maturation_mixed_recurrence,2,"156,157",moment_quiet_observed,moment_carried,moment_quiet_observed -> moment_carried,multisensory_quiet_observation -> multisensory_carried_contact,WAIT -> SHORT,2,1.0,1.0,dio_16yc: Entwicklung von Beobachtung/Halten zu getragenem Kontakt; Pfad=moment_quiet_observed -> moment_carried; Aktionen=WAIT -> SHORT; reward_sum=1.000000.,1
dio_1txv,development_observation_to_carried,maturation_mixed_recurrence,3,"156,157,158",moment_quiet_observed,moment_carried,moment_quiet_observed -> moment_quiet_observed -> moment_carried,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_carried_contact,WAIT -> WAIT -> SHORT,2,1.0,1.0,dio_1txv: Entwicklung von Beobachtung/Halten zu getragenem Kontakt; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_carried; Aktionen=WAIT -> WAIT -> SHORT; reward_sum=1.000000.,1
dio_0igh,development_quiet_observation,maturation_quiet_observation,1,156,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,1,0.0,0.0,dio_0igh: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed; Aktionen=WAIT.,1
dio_143d,development_quiet_observation,maturation_quiet_observation,1,156,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,1,0.0,0.0,dio_143d: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed; Aktionen=WAIT.,1
dio_14xc,development_quiet_observation,maturation_quiet_observation,1,158,moment_quiet_held,moment_quiet_held,moment_quiet_held,multisensory_quiet_hold,WAIT,1,0.0,0.0,dio_14xc: ruhig beobachtet/gehalten; Pfad=moment_quiet_held; Aktionen=WAIT.,1
dio_1g2t,development_quiet_observation,maturation_quiet_observation,1,156,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,1,0.0,0.0,dio_1g2t: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed; Aktionen=WAIT.,1
dio_1qwp,development_quiet_observation,maturation_quiet_observation,1,156,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,1,0.0,0.0,dio_1qwp: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed; Aktionen=WAIT.,1
dio_0fiy,development_negative_open,maturation_negative_open,1,156,moment_open,moment_open,moment_open,multisensory_burdened_memory,LONG,1,-1.0,-1.0,dio_0fiy: negative offene Entwicklung; Pfad=moment_open; reward_sum=-1.000000.,1
