development_state,family_count,row_count,reward_sum,event_reward_sum,families,maturation_states
development_stable_carried,4,8,8.0,8.0,"dio_02qu,dio_0arw,dio_0x1o,dio_1vpi",maturation_stable_carried
development_observation_to_carried,2,5,2.0,2.0,"dio_16yc,dio_1txv",maturation_mixed_recurrence
development_quiet_observation,5,5,0.0,0.0,"dio_0igh,dio_143d,dio_14xc,dio_1g2t,dio_1qwp",maturation_quiet_observation
development_negative_open,1,1,-1.0,-1.0,dio_0fiy,maturation_negative_open
