symbol_family,action,outcome_event,count,reward_sum,avg_reward,runs,ticks,passive_only
dio_0x52,SHORT,SL,2,-2.0,-1.0,"159,160","2,2",1
dio_0cgn,LONG,TP,1,1.0,1.0,161,1,1
dio_0hd3,SHORT,TP,1,1.0,1.0,161,6,1
dio_1g18,SHORT,TP,3,3.0,1.0,"159,160,161","13,13,13",1
dio_07rf,WAIT,NO_TRADE,2,0.0,0.0,"159,160","9,9",1
dio_0cgn,WAIT,NO_TRADE,2,0.0,0.0,"159,160","1,1",1
dio_0gmg,WAIT,NO_TRADE,3,0.0,0.0,"159,160,161","18,18,18",1
dio_0izw,WAIT,NO_TRADE,2,0.0,0.0,"159,160","8,8",1
dio_15ms,WAIT,NO_TRADE,2,0.0,0.0,"159,160","7,7",1
dio_173s,WAIT,NO_TRADE,3,0.0,0.0,"159,160,161","12,12,12",1
dio_1mn2,WAIT,NO_TRADE,1,0.0,0.0,161,11,1
dio_1mx2,WAIT,NO_TRADE,2,0.0,0.0,"159,160","11,11",1
dio_1pfo,WAIT,NO_TRADE,2,0.0,0.0,"159,160","10,10",1
