stage_label,candidate_state,candidate_count,latent_edge_count,connected_latent_family_count,isolated_latent_family_count,component_count,nontrivial_component_count,largest_component_size,latent_matrix_island_hits,largest_matrix_island_latent_count,avg_latent_edge_similarity,passive_only,controlled_dataset_scope,long_run_claim,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
L,spacetime_latent_persistent_trace,233,3,6,227,230,3,2,230,2,0.999885,True,True,False,False,False,False,False,False,False,False
M,spacetime_latent_persistent_trace,233,3,6,227,230,3,2,230,2,0.999893,True,True,False,False,False,False,False,False,False,False
N,spacetime_latent_persistent_trace,233,3,6,227,230,3,2,229,2,0.999887,True,True,False,False,False,False,False,False,False,False
O,spacetime_latent_persistent_trace,233,4,8,225,229,4,2,229,2,0.99985625,True,True,False,False,False,False,False,False,False,False
P,spacetime_latent_persistent_trace,233,4,8,225,229,4,2,229,2,0.99989775,True,True,False,False,False,False,False,False,False,False
